"Label (Grouping)","United States!!Estimate","United States!!Margin of Error"
"Total:","321,630,422","±48,758"
"    Income in the past 12 months below the poverty level:","38,649,551","±235,212"
"        Enrolled in school:","12,272,895","±123,205"
"            Enrolled in nursery school, preschool","615,649","±16,540"
"            Enrolled in kindergarten","657,233","±18,184"
"            Enrolled in grade 1 to grade 4","2,480,927","±44,303"
"            Enrolled in grade 5 to grade 8","2,445,475","±38,597"
"            Enrolled in grade 9 to grade 12","2,507,228","±35,405"
"            Enrolled in college undergraduate years","2,820,320","±46,645"
"            Enrolled in graduate or professional school","746,063","±21,835"
"        Not enrolled in school","26,376,656","±143,575"
"    Income in the past 12 months at or above the poverty level:","282,980,871","±233,776"
"        Enrolled in school:","64,782,576","±158,030"
"            Enrolled in nursery school, preschool","4,057,909","±40,446"
"            Enrolled in kindergarten","3,298,240","±34,014"
"            Enrolled in grade 1 to grade 4","13,178,751","±54,436"
"            Enrolled in grade 5 to grade 8","14,071,818","±64,393"
"            Enrolled in grade 9 to grade 12","15,041,821","±63,302"
"            Enrolled in college undergraduate years","11,179,697","±76,312"
"            Enrolled in graduate or professional school","3,954,340","±41,767"
"        Not enrolled in school","218,198,295","±178,401"
