"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"B17003_001E","Estimate!!Total:"
"B17003_001M","Margin of Error!!Total:"
"B17003_002E","Estimate!!Total:!!Income in the past 12 months below poverty level:"
"B17003_002M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:"
"B17003_003E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17003_003M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:"
"B17003_004E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Less than high school graduate"
"B17003_004M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Less than high school graduate"
"B17003_005E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!High school graduate (includes equivalency)"
"B17003_005M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!High school graduate (includes equivalency)"
"B17003_006E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Some college, associate's degree"
"B17003_006M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Some college, associate's degree"
"B17003_007E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Bachelor's degree or higher"
"B17003_007M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Male:!!Bachelor's degree or higher"
"B17003_008E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:"
"B17003_008M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:"
"B17003_009E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Less than high school graduate"
"B17003_009M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Less than high school graduate"
"B17003_010E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!High school graduate (includes equivalency)"
"B17003_010M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!High school graduate (includes equivalency)"
"B17003_011E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Some college, associate's degree"
"B17003_011M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Some college, associate's degree"
"B17003_012E","Estimate!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Bachelor's degree or higher"
"B17003_012M","Margin of Error!!Total:!!Income in the past 12 months below poverty level:!!Female:!!Bachelor's degree or higher"
"B17003_013E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:"
"B17003_013M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:"
"B17003_014E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:"
"B17003_014M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:"
"B17003_015E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Less than high school graduate"
"B17003_015M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Less than high school graduate"
"B17003_016E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!High school graduate (includes equivalency)"
"B17003_016M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!High school graduate (includes equivalency)"
"B17003_017E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Some college, associate's degree"
"B17003_017M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Some college, associate's degree"
"B17003_018E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Bachelor's degree or higher"
"B17003_018M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Male:!!Bachelor's degree or higher"
"B17003_019E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:"
"B17003_019M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:"
"B17003_020E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Less than high school graduate"
"B17003_020M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Less than high school graduate"
"B17003_021E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!High school graduate (includes equivalency)"
"B17003_021M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!High school graduate (includes equivalency)"
"B17003_022E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Some college, associate's degree"
"B17003_022M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Some college, associate's degree"
"B17003_023E","Estimate!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Bachelor's degree or higher"
"B17003_023M","Margin of Error!!Total:!!Income in the past 12 months at or above poverty level:!!Female:!!Bachelor's degree or higher"
