"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Percent!!Estimate","United States!!Percent!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Percent Male!!Estimate","United States!!Percent Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","United States!!Percent Female!!Estimate","United States!!Percent Female!!Margin of Error"
"AGE BY EDUCATIONAL ATTAINMENT","","","","","","","","","","","",""
"    Population 18 to 24 years","31,270,959","±48,363","(X)","(X)","16,005,442","±29,069","(X)","(X)","15,265,517","±26,562","(X)","(X)"
"        Less than high school graduate","3,632,499","±40,085","11.6%","±0.1","2,125,547","±28,119","13.3%","±0.2","1,506,952","±25,140","9.9%","±0.2"
"        High school graduate (includes equivalency)","11,667,747","±56,186","37.3%","±0.2","6,495,842","±40,053","40.6%","±0.3","5,171,905","±36,851","33.9%","±0.2"
"        Some college or associate's degree","11,683,751","±64,854","37.4%","±0.2","5,577,018","±42,939","34.8%","±0.2","6,106,733","±43,759","40.0%","±0.3"
"        Bachelor's degree or higher","4,286,962","±47,528","13.7%","±0.2","1,807,035","±26,655","11.3%","±0.2","2,479,927","±33,373","16.2%","±0.2"
"    Population 25 years and over","235,910,719","±69,861","(X)","(X)","114,933,273","±40,292","(X)","(X)","120,977,446","±38,971","(X)","(X)"
"        Less than 9th grade","10,908,872","±89,392","4.6%","±0.1","5,569,008","±55,910","4.8%","±0.1","5,339,864","±50,534","4.4%","±0.1"
"        9th to 12th grade, no diploma","12,868,166","±98,665","5.5%","±0.1","6,945,221","±61,860","6.0%","±0.1","5,922,945","±52,918","4.9%","±0.1"
"        High school graduate (includes equivalency)","60,698,932","±181,262","25.7%","±0.1","31,431,978","±110,426","27.3%","±0.1","29,266,954","±104,126","24.2%","±0.1"
"        Some college, no degree","43,653,533","±119,821","18.5%","±0.1","21,257,595","±77,689","18.5%","±0.1","22,395,938","±81,871","18.5%","±0.1"
"        Associate's degree","20,848,519","±84,517","8.8%","±0.1","9,098,184","±57,809","7.9%","±0.1","11,750,335","±57,702","9.7%","±0.1"
"        Bachelor's degree","52,233,014","±177,628","22.1%","±0.1","24,774,707","±108,254","21.6%","±0.1","27,458,307","±100,869","22.7%","±0.1"
"        Graduate or professional degree","34,699,683","±155,048","14.7%","±0.1","15,856,580","±80,171","13.8%","±0.1","18,843,103","±94,413","15.6%","±0.1"
"        High school graduate or higher","212,133,681","±205,306","89.9%","±0.1","102,419,044","±117,839","89.1%","±0.1","109,714,637","±104,591","90.7%","±0.1"
"        Bachelor's degree or higher","86,932,697","±300,131","36.8%","±0.1","40,631,287","±154,486","35.4%","±0.1","46,301,410","±166,716","38.3%","±0.1"
"    Population 25 to 34 years","46,198,405","±43,885","(X)","(X)","23,360,181","±27,337","(X)","(X)","22,838,224","±26,766","(X)","(X)"
"        High school graduate or higher","42,961,248","±63,415","93.0%","±0.1","21,445,766","±43,163","91.8%","±0.1","21,515,482","±34,666","94.2%","±0.1"
"        Bachelor's degree or higher","18,890,264","±101,736","40.9%","±0.2","8,438,976","±57,606","36.1%","±0.2","10,451,288","±60,042","45.8%","±0.2"
"    Population 35 to 44 years","45,956,885","±36,741","(X)","(X)","23,163,454","±24,666","(X)","(X)","22,793,431","±25,514","(X)","(X)"
"        High school graduate or higher","41,636,291","±56,038","90.6%","±0.1","20,691,696","±35,092","89.3%","±0.1","20,944,595","±34,301","91.9%","±0.1"
"        Bachelor's degree or higher","19,135,205","±94,857","41.6%","±0.2","8,732,780","±51,814","37.7%","±0.2","10,402,425","±57,574","45.6%","±0.2"
"    Population 45 to 64 years","82,510,146","±37,170","(X)","(X)","40,726,327","±25,564","(X)","(X)","41,783,819","±27,195","(X)","(X)"
"        High school graduate or higher","73,389,187","±83,137","88.9%","±0.1","35,765,766","±51,174","87.8%","±0.1","37,623,421","±50,468","90.0%","±0.1"
"        Bachelor's degree or higher","29,493,477","±120,945","35.7%","±0.1","13,778,404","±67,514","33.8%","±0.2","15,715,073","±71,075","37.6%","±0.2"
"    Population 65 years and over","61,245,283","±24,867","(X)","(X)","27,683,311","±15,483","(X)","(X)","33,561,972","±16,234","(X)","(X)"
"        High school graduate or higher","54,146,955","±65,018","88.4%","±0.1","24,515,816","±37,726","88.6%","±0.1","29,631,139","±39,792","88.3%","±0.1"
"        Bachelor's degree or higher","19,413,751","±72,652","31.7%","±0.1","9,681,127","±46,776","35.0%","±0.2","9,732,624","±40,643","29.0%","±0.1"
